201,61,kL3-50-4,sR2-50-33,mL3c-50-15,17.49,243.2
233,80,kL3-50-4,sR2-50-33,mL3c-50-15,14.89,244.5
257,67,kL3-50-4,sR2-50-33,mL3c-50-15,14.58,250
287,55,kL3-50-4,sR2-50-33,mL3c-50-15,15.91,255.5
206,64,kL3-50-4,mR3r-50-15,mL1t-50-15,18.63,244
237,53,kL3-50-4,mR3r-50-15,mL1t-50-15,18.96,249.5
268,68,kL3-50-4,mR3r-50-15,mL1t-50-15,15.62,252
293,80,kL3-50-4,mR3r-50-15,mL1t-50-15,13.87,254
215,66,kR1-50-4,sL1-50-33,mR1c-50-15,20.13,246.1
235,59,kR1-50-4,sL1-50-33,mR1c-50-15,19.93,249.9
255,51,kR1-50-4,sL1-50-33,mR1c-50-15,20.84,253.6
287,79,kR1-50-4,sL1-50-33,mR1c-50-15,15.66,254.7
216,78,kR1-50-4,mL2r-50-15,mR2t-50-15,16.23,240.4
234,52,kR1-50-4,mL2r-50-15,mR2t-50-15,18.1,247
260,71,kR1-50-4,mL2r-50-15,mR2t-50-15,14.42,247.5
296,59,kR1-50-4,mL2r-50-15,mR2t-50-15,15.46,254.2
202,66,kR1-50-4,mL2t-50-15,mR3c-50-15,17.85,241
245,52,kR1-50-4,mL2t-50-15,mR3c-50-15,18.11,248.7
262,59,kR1-50-4,mL2t-50-15,mR3c-50-15,16.21,249.7
299,73,kR1-50-4,mL2t-50-15,mR3c-50-15,13.46,252.5
216,53,kR2-50-4,kR1-50-4,sL1-50-33,20.5,250.1
241,78,kR2-50-4,kR1-50-4,sL1-50-33,16.88,251.2
266,63,kR2-50-4,kR1-50-4,sL1-50-33,17.16,257
296,66,kR2-50-4,kR1-50-4,sL1-50-33,16,261.2
216,61,kR2-50-4,mR2c-50-15,kR2-50-4,16.66,246.2
239,68,kR2-50-4,mR2c-50-15,kR2-50-4,14.94,248.5
257,53,kR2-50-4,mR2c-50-15,kR2-50-4,16.95,253.2
278,74,kR2-50-4,mR2c-50-15,kR2-50-4,13.24,253
210,80,kR3-50-4,sR2-50-33,mR3c-50-15,15.76,240.7
235,51,kR3-50-4,sR2-50-33,mR3c-50-15,17.34,248
260,65,kR3-50-4,sR2-50-33,mR3c-50-15,14.37,250.5
284,72,kR3-50-4,sR2-50-33,mR3c-50-15,13.03,252.5
222,72,kR3-50-4,mR3r-50-15,mL3c-50-15,16.64,242
247,63,kR3-50-4,mR3r-50-15,mL3c-50-15,16.38,246.7
265,79,kR3-50-4,mR3r-50-15,mL3c-50-15,14.33,246.5
286,54,kR3-50-4,mR3r-50-15,mL3c-50-15,17.51,253.5
222,63,mL1r-50-15,sL1-50-33,mL2t-50-15,21.17,246.9
252,54,mL1r-50-15,sL1-50-33,mL2t-50-15,21.48,251.9
265,72,mL1r-50-15,sL1-50-33,mL2t-50-15,18.16,252.1
286,79,mL1r-50-15,sL1-50-33,mL2t-50-15,16.86,254.2
203,69,mL1r-50-15,mL2r-50-15,sL2-50-33,20.25,242.9
234,79,mL1r-50-15,mL2r-50-15,sL2-50-33,17.61,246
270,51,mL1r-50-15,mL2r-50-15,sL2-50-33,20.44,255
294,64,mL1r-50-15,mL2r-50-15,sL2-50-33,17.31,255
200,71,mL1r-50-15,mL3t-50-15,kR3-50-4,17.86,240.6
233,76,mL1r-50-15,mL3t-50-15,kR3-50-4,15.65,244.7
252,64,mL1r-50-15,mL3t-50-15,kR3-50-4,15.95,249.6
299,53,mL1r-50-15,mL3t-50-15,kR3-50-4,17.32,257.9
211,51,mL2r-50-15,kR1-50-4,mL2c-50-15,19.12,244.2
248,62,mL2r-50-15,kR1-50-4,mL2c-50-15,15.99,247.5
275,77,mL2r-50-15,kR1-50-4,mL2c-50-15,13.64,248.5
293,69,mL2r-50-15,kR1-50-4,mL2c-50-15,13.96,252
212,78,mL2r-50-15,mR1c-50-15,mR3t-50-15,17.37,237.5
240,72,mL2r-50-15,mR1c-50-15,mR3t-50-15,15.99,242.2
262,60,mL2r-50-15,mR1c-50-15,mR3t-50-15,16.65,245
295,53,mL2r-50-15,mR1c-50-15,mR3t-50-15,17.61,252.9
200,73,mL3r-50-15,sR3-50-33,mL3r-50-15,17.29,238
226,58,mL3r-50-15,sR3-50-33,mL3r-50-15,16.93,244.5
263,66,mL3r-50-15,sR3-50-33,mL3r-50-15,14.77,248
296,52,mL3r-50-15,sR3-50-33,mL3r-50-15,16.8,255
203,51,mL3r-50-15,mR3r-50-15,kL2-50-4,20.85,240
240,59,mL3r-50-15,mR3r-50-15,kL2-50-4,17.58,248.1
258,79,mL3r-50-15,mR3r-50-15,kL2-50-4,14.91,247
296,67,mL3r-50-15,mR3r-50-15,kL2-50-4,14.99,254.5
200,52,mR1r-50-15,sL1-50-33,mL2c-50-15,24.21,243.9
234,60,mR1r-50-15,sL1-50-33,mL2c-50-15,21.11,247.7
253,68,mR1r-50-15,sL1-50-33,mL2c-50-15,19.2,249.5
276,76,mR1r-50-15,sL1-50-33,mL2c-50-15,17.37,250
204,59,mR1r-50-15,mL3r-50-15,sL1-50-33,22.59,244.8
241,70,mR1r-50-15,mL3r-50-15,sL1-50-33,19.5,245
271,51,mR1r-50-15,mL3r-50-15,sL1-50-33,21.91,255.6
298,77,mR1r-50-15,mL3r-50-15,sL1-50-33,16.66,256.1
215,59,mR1r-50-15,mL3t-50-15,mL2t-50-15,18.65,242.5
240,77,mR1r-50-15,mL3t-50-15,mL2t-50-15,15.77,243.2
262,51,mR1r-50-15,mL3t-50-15,mL2t-50-15,18.65,249.9
284,69,mR1r-50-15,mL3t-50-15,mL2t-50-15,14.75,250
205,52,mR2r-50-15,kR1-50-4,sL3-50-33,21.04,247.3
246,79,mR2r-50-15,kR1-50-4,sL3-50-33,16.03,249.6
272,70,mR2r-50-15,kR1-50-4,sL3-50-33,15.79,254.9
292,61,mR2r-50-15,kR1-50-4,sL3-50-33,16.51,259
204,61,mR2r-50-15,mR2c-50-15,sL3-50-33,20.82,244
225,77,mR2r-50-15,mR2c-50-15,sL3-50-33,18.23,244.7
252,53,mR2r-50-15,mR2c-50-15,sL3-50-33,20.35,252.1
288,70,mR2r-50-15,mR2c-50-15,sL3-50-33,16.26,254.7
211,79,mR3r-50-15,sR3-50-33,kR3-50-4,15.63,241.7
236,70,mR3r-50-15,sR3-50-33,kR3-50-4,14.47,247
251,53,mR3r-50-15,sR3-50-33,kR3-50-4,16.71,252.2
278,62,mR3r-50-15,sR3-50-33,kR3-50-4,14.49,254.5
212,57,mR3r-50-15,mR3r-50-15,mR2r-50-15,19.34,241.4
234,63,mR3r-50-15,mR3r-50-15,mR2r-50-15,17.5,243.2
259,79,mR3r-50-15,mR3r-50-15,mR2r-50-15,15.12,243.6
290,72,mR3r-50-15,mR3r-50-15,mR2r-50-15,14.67,249
203,59,mL1c-50-15,sL1-50-33,mL2r-50-15,22.83,243.6
